CKEY,FIELD 245
13427562,Profesiı̆na statystyka v Rosiı̈ ta na Ukraı̈ni / I͡U. Masi͡utyn.
13428175,Zbirnyk statystychno-ekonomichnykh vidomostei pro silʹsʹke hospodarstvo Ukraïny.
13428225,Li͡udnistʹ mista Kyiva : korotka kharakterystyka za danymy perepysu 17 hrudni͡a 1926 r. / I. Vikul.
13428256,Narodne hospodarstvo USRR : statystychnyĭ dovidnyk / za redakt͡sii͡ei͡u O.M. Asatkina.
13428268,Nat͡sionalʹnyĭ sostav Sovetskoĭ Ukrainy / sostavlena N.A. Cherli͡unchakevichem s uchastiem sotrudnikov NKVD USSR.
13428279,Nat͡sionalʹni menshosti na Ukraïni /T͡Sentralʹne statystychne upravlinni͡a USRR.
13428289,Kontrolʹnye t͡sifry pi͡atiletnego plana razvitii͡a promyshlennosti USSR : 1928-29--1932-33 g.g.
13428326,Shli͡akhy i tempy rozvytku narodnʹoho hospodarstva USRR : materii͡aly do pobuduvanni͡a pʹi͡atyrichnoho planu do XI Vseukraïnsʹkoho zʹïzdu Rad / [zahalʹna redakt͡sii͡a I͡A.M. Dudnyk].
13428342,"Promyshlennyĭ plan Ukrainy : istorii͡a, ėkonomicheskoe osnovanii͡a, metodologii͡a i analiz / sostavlen po programme i pod redakt͡sieĭ K.G. Maksimova."
13428416,Sot͡sii͡alistychne budivnyt͡stvo na Ukraïni / V.L. Shtipelʹman.
13428442,Rabochie Donbassa v gody pervykh pi͡atiletok (1928-1937) / Z.G. Likholobova.
13428486,Stan proletarii͡atu na Ukraïni pisli͡a z͡hovtnevoï revoli͡ut͡siï / M.I. Bui͡anover ; zahalʹne redahuvanni͡a M.O. Avdii͡enka.
13428492,Rezoli͡ut͡siï II Vseukraïnsʹkoï partkonferent͡siï 9-14 kvitni͡a 1929 r.
13428504,Prat͡si͡a v pi͡atyrichnomu pli͡ani rozvytku narodnʹoho hospodarstva USRR (1928-29--1932-33) : materii͡aly / Narodnyĭ komisarii͡at prat͡si URSS ; [zahalʹna redakt͡sii͡a: I.S. Stepansʹkyĭ].
13438009,Zbirka postanov pro ukraïnizat͡sii͡u t͡sentralʹnykh i okruhovykh orhaniv kompartiï i radvlady.
13438013,Narodni͡e hospodarstvo Ukraïny cherez p'i͡atʹ rokiv / St. Basanʹ.
13438020,Itogi vypolnenii͡a pervogo pi͡atiletnogo plana razvitii͡a narodnogo khozi͡aĭstva Soi͡uza SSR.
13438027,Osnovy p'i͡atyrichnoho pli͡anu narodnʹoho hospodarstva Ukraïny / I͡A. Dudnyk.
13438770,Rozmieszczenie ludności na Ukrainie radzieckiej (U.S.R.R.) = La répartition de la population dans l'Ukraïne (U.S.R.R.) / Włodzimierz Kubijowicz.
13438797,Tretiĭ vyrishnyĭ rik sot͡sii͡alistychnoho nastupu : osnovni t͡silʹovi nastanovy narodnʹo-hospodarsʹkoho pli͡anu SRSR i USRR na 1931 rik / O. Aleksandrov.
13438799,Misʹki selyshcha USRR : zbirnyk stat.-ekonomichnykh vidomosteĭ.
13438807,LKSM Ukraïny v rishenni͡akh z'ïzdiv ta konferent͡siĭ 1919-1966 / [T͡Sentralʹnyĭ komitet Leninsʹkoï komunistychnoï spilky molodi Ukraïny ; redakt͡siĭna kolehii͡a: O.S. Kapto (holova) [and others].
13438813,Partii͡a i masy / H. Paperin.
13438820,"Do rekonstrukt͡siĭnykh problem : industrii͡alizat͡sii͡a, kolektyvizat͡sii͡a, nat͡spytanni͡a, samokrytyka: dopovidʹ na VII plenumi Kyïvsʹkoho OPK KP(b)U 27.11.1929 / M. Skrypnyk."
13438832,I͡Akisni zavdanni͡a ukraïnsʹkoï promyslovosty.
13438835,Desi͡atʹ let profdvizhenii͡a Ukrainy / A. Radchenko.
13438840,Vsesoi͡uznai͡a partiĭnai͡a perepisʹ 1927 goda : osnovnye itogi perepisi.
13438850,Sot͡sialʹnye problemy pi͡atiletki 1928/29-1932/33 / S.G. Strumilin ; s predisloviem G.M. Krzhizhanovskogo.
