"","Group","filename","unittitle.text","didunitdate.text","didlanguage.attrs","didabstract.text","level","primarynode.attrs","didunitdate.attrs","container.text","didcontainer.attrs.1","didcontainer.attrs.2","scopecontentid.attrs","scopecontenthead.text","scopecontentp.text","accessrestrictid.attrs","accessrestricthead.text","accessrestrictp.text","note.text","Hierarchical_Relationship","Description_Level","Year_Num"
"1",1,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","Soviet and post-Soviet independent publications collection ","1986-2006","rus","Serial issues, relating to political, social and economic conditions in Russia. ","collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Series",NA
"2",2,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","Key: TITLE Subtitle. Publisher. Editor. Publication location. Publication frequency. Publication Start date ",NA,NA,NA,"series","series",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sorted by year",1,"Series",NA
"3",3,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","III-ii RIM vestnik Rossiiskogo patrioticheskogo dvizheniia. Redaktory: M. Artem'ev, V. Rugich. Moscow, Russia. 1989-",NA,NA,NA,"series","series",NA,"460","Box","Box: ",NA,NA,NA,NA,NA,NA,"one undated issue no. 3 with headline ""Narodnye li?""1989: no. 1-31991: no. 5, no. 7-81994: no. 11997: no. 2",1,"Series",NA
"4",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1989: no. 1-3"
"5",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1991: no. 5, 7-8"
"31",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1994: no. 1"
"4.1",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1997: no. 2"
"8",4,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","VII LINNIIAthe seventh line. Gl. redaktor: M. Rozenberg. S. -Peterburg, Russia. 19??-",NA,NA,NA,"series","series",NA,"460","Box","Box: ",NA,NA,NA,NA,NA,NA,"1992: no. 21993: no. 2, no. 4",1,"Series",NA
"9",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1992: no. 2"
"10",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1993: no. 2, 4"
"11",5,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","XXI VEK respublikanskaia ezhenedel'naia obshchestvenno-politicheskaia gazeta. Glavnyi redaktor: Bigel'dy Gabdullin. Almaty, Kazakhstan. Weekly. 1998-",NA,NA,NA,"series","series",NA,"1","Box","Box: ",NA,NA,NA,NA,NA,NA,"1998: no. 23-26, no. 291999: no. 1(43), no. 3(45), one unnumbered and undated issue with headline, ""Ia govoriu Vlasti: ""Net!"","" no. 34(76), no. 42(84)-43(85)2000: no. 16(107), no. 20(111), no. 22(113)-23(114)",1,"Series",NA
"12",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1998: no. 23-26, 29"
"13",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1999: no. 1(43), 3(45), one unnumbered and undated issue with headline, ""Ia govoriu Vlasti: ""Net!"","" 34(76), 42(84)-43(85)"
"14",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","2000: no. 16(107), 20(111), 22(113)-23(114)"
"6",6,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","12See: Dvenadtsat'. ",NA,NA,NA,"series","series",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Series",NA
